tool_tested,persona,num_choices,llm_choice,correct_choice,is_correct
Search for Places That Are Currently Open,goal_oriented,50,Search for Places That Are Currently Open,Search for Places That Are Currently Open,1
Search for Places That Are Currently Open,function_specific,50,searchPlaces,Search for Places That Are Currently Open,0
Search for Places That Are Currently Open,tool_explicit,50,Search for Places That Are Currently Open,Search for Places That Are Currently Open,1
Search for Places Using Geocoding,problem_oriented,50,searchPlaces,Search for Places Using Geocoding,0
Search for Places Using Geocoding,goal_oriented,50,Search for Places Using Geocoding,Search for Places Using Geocoding,1
Search for Places Using Geocoding,category_aware,50,Search for Places Using Geocoding,Search for Places Using Geocoding,1
Search for Places Using Geocoding,function_specific,50,Search for Places Using Geocoding,Search for Places Using Geocoding,1
Search for Places Using Geocoding,tool_explicit,50,Search for Places Using Geocoding,Search for Places Using Geocoding,1
Security-First Development Workflow,problem_oriented,50,Security-First Development Workflow,Security-First Development Workflow,1
Security-First Development Workflow,goal_oriented,50,Security-First Development Workflow,Security-First Development Workflow,1
Security-First Development Workflow,tool_explicit,50,Security-First Development Workflow,Security-First Development Workflow,1
Security-First Development Workflow,category_aware,50,Security-First Development Workflow,Security-First Development Workflow,1
Security-First Development Workflow,function_specific,50,Security-First Development Workflow,Security-First Development Workflow,1
Semantic Search Within Repositories,problem_oriented,50,list_objects_by_tag,Semantic Search Within Repositories,0
Semantic Search Within Repositories,goal_oriented,50,GitHub Repository Search in AWS Organizations,Semantic Search Within Repositories,0
Semantic Search Within Repositories,category_aware,50,Semantic Search Within Repositories,Semantic Search Within Repositories,1
Semantic Search Within Repositories,function_specific,50,Semantic Search Within Repositories,Semantic Search Within Repositories,1
Semantic Search Within Repositories,tool_explicit,50,Semantic Search Within Repositories,Semantic Search Within Repositories,1
Terraform Workflow Execution,goal_oriented,50,Terraform Workflow Execution,Terraform Workflow Execution,1
Terraform Workflow Execution,problem_oriented,50,Projects/Workspaces Management,Terraform Workflow Execution,0
Terraform Workflow Execution,category_aware,50,Terraform Workflow Execution,Terraform Workflow Execution,1
Terraform Workflow Execution,function_specific,50,Terraform Workflow Execution,Terraform Workflow Execution,1
Terraform Workflow Execution,tool_explicit,50,Terraform Workflow Execution,Terraform Workflow Execution,1
Text-Based Image Generation,problem_oriented,50,Text-Based Image Generation,Text-Based Image Generation,1
Text-Based Image Generation,goal_oriented,50,Text-Based Image Generation,Text-Based Image Generation,1
Text-Based Image Generation,category_aware,50,Text-Based Image Generation,Text-Based Image Generation,1
Text-Based Image Generation,function_specific,50,Text-Based Image Generation,Text-Based Image Generation,1
Text-Based Image Generation,tool_explicit,50,Text-Based Image Generation,Text-Based Image Generation,1
dynamodb_batch_execute,problem_oriented,50,dynamodb_batch_execute,dynamodb_batch_execute,1
dynamodb_batch_execute,category_aware,50,dynamodb_batch_execute,dynamodb_batch_execute,1
dynamodb_batch_execute,goal_oriented,50,execute_dml_sql,dynamodb_batch_execute,0
dynamodb_batch_execute,tool_explicit,50,dynamodb_batch_execute,dynamodb_batch_execute,1
dynamodb_batch_get,goal_oriented,50,dynamodb_batch_get,dynamodb_batch_get,1
dynamodb_batch_get,problem_oriented,50,dynamodb_batch_get,dynamodb_batch_get,1
dynamodb_batch_get,function_specific,50,dynamodb_batch_get,dynamodb_batch_get,1
dynamodb_batch_get,category_aware,50,dynamodb_batch_get,dynamodb_batch_get,1
dynamodb_batch_get,tool_explicit,50,dynamodb_batch_get,dynamodb_batch_get,1
dynamodb_describe_ttl,problem_oriented,50,dynamodb_describe_ttl,dynamodb_describe_ttl,1
dynamodb_describe_ttl,goal_oriented,50,dynamodb_describe_ttl,dynamodb_describe_ttl,1
dynamodb_describe_ttl,function_specific,50,dynamodb_describe_ttl,dynamodb_describe_ttl,1
dynamodb_describe_ttl,category_aware,50,dynamodb_describe_ttl,dynamodb_describe_ttl,1
dynamodb_describe_ttl,tool_explicit,50,dynamodb_describe_ttl,dynamodb_describe_ttl,1
dynamodb_item_batch_write,problem_oriented,50,dynamodb_item_batch_write,dynamodb_item_batch_write,1
dynamodb_item_batch_write,goal_oriented,50,BulkCreateRecords,dynamodb_item_batch_write,0
dynamodb_item_batch_write,category_aware,50,dynamodb_item_batch_write,dynamodb_item_batch_write,1
dynamodb_item_batch_write,function_specific,50,dynamodb_item_batch_write,dynamodb_item_batch_write,1
dynamodb_item_batch_write,tool_explicit,50,dynamodb_item_batch_write,dynamodb_item_batch_write,1
dynamodb_item_delete,problem_oriented,50,dynamodb_item_delete,dynamodb_item_delete,1
dynamodb_item_delete,goal_oriented,50,dynamodb_item_delete,dynamodb_item_delete,1
dynamodb_item_delete,function_specific,50,dynamodb_item_delete,dynamodb_item_delete,1
dynamodb_item_delete,category_aware,50,dynamodb_item_delete,dynamodb_item_delete,1
dynamodb_item_delete,tool_explicit,50,dynamodb_item_delete,dynamodb_item_delete,1
dynamodb_item_get,goal_oriented,50,Read User,dynamodb_item_get,0
dynamodb_item_get,problem_oriented,50,dynamodb_item_get,dynamodb_item_get,1
dynamodb_batch_execute,function_specific,50,dynamodb_batch_execute,dynamodb_batch_execute,1
dynamodb_item_get,function_specific,50,dynamodb_item_get,dynamodb_item_get,1
dynamodb_item_get,category_aware,50,dynamodb_item_get,dynamodb_item_get,1
dynamodb_item_get,tool_explicit,50,dynamodb_item_get,dynamodb_item_get,1
dynamodb_item_put,problem_oriented,50,create,dynamodb_item_put,0
dynamodb_item_put,goal_oriented,50,dynamodb_item_put,dynamodb_item_put,1
dynamodb_item_put,category_aware,50,dynamodb_item_put,dynamodb_item_put,1
dynamodb_item_put,tool_explicit,50,dynamodb_item_put,dynamodb_item_put,1
dynamodb_item_put,function_specific,50,dynamodb_item_put,dynamodb_item_put,1
dynamodb_item_query,goal_oriented,50,execute-ai-query,dynamodb_item_query,0
dynamodb_item_query,problem_oriented,50,list_document_pages,dynamodb_item_query,0
dynamodb_item_query,category_aware,50,dynamodb_item_query,dynamodb_item_query,1
dynamodb_item_query,tool_explicit,50,dynamodb_item_query,dynamodb_item_query,1
dynamodb_item_query,function_specific,50,dynamodb_item_query,dynamodb_item_query,1
dynamodb_item_scan,goal_oriented,50,dynamodb_item_scan,dynamodb_item_scan,1
dynamodb_item_scan,problem_oriented,50,get_database_tables,dynamodb_item_scan,0
dynamodb_item_scan,category_aware,50,dynamodb_item_scan,dynamodb_item_scan,1
dynamodb_item_scan,tool_explicit,50,dynamodb_item_scan,dynamodb_item_scan,1
dynamodb_item_update,problem_oriented,50,dynamodb_item_update,dynamodb_item_update,1
dynamodb_item_update,goal_oriented,50,dynamodb_item_update,dynamodb_item_update,1
dynamodb_item_scan,function_specific,50,dynamodb_item_scan,dynamodb_item_scan,1
dynamodb_item_update,category_aware,50,dynamodb_item_update,dynamodb_item_update,1
dynamodb_item_update,function_specific,50,dynamodb_item_update,dynamodb_item_update,1
dynamodb_item_update,tool_explicit,50,dynamodb_item_update,dynamodb_item_update,1
dynamodb_table_create,goal_oriented,50,dynamodb_table_create,dynamodb_table_create,1
dynamodb_table_create,category_aware,50,dynamodb_table_create,dynamodb_table_create,1
dynamodb_table_create,problem_oriented,50,dynamodb_table_create,dynamodb_table_create,1
dynamodb_table_create,function_specific,50,dynamodb_table_create,dynamodb_table_create,1
dynamodb_table_create,tool_explicit,50,dynamodb_table_create,dynamodb_table_create,1
dynamodb_table_delete,problem_oriented,50,write_query,dynamodb_table_delete,0
dynamodb_table_delete,goal_oriented,50,dynamodb_table_delete,dynamodb_table_delete,1
dynamodb_table_delete,category_aware,50,dynamodb_table_delete,dynamodb_table_delete,1
dynamodb_table_delete,function_specific,50,dynamodb_table_delete,dynamodb_table_delete,1
dynamodb_table_delete,tool_explicit,50,dynamodb_table_delete,dynamodb_table_delete,1
dynamodb_table_describe,problem_oriented,50,dynamodb_table_describe,dynamodb_table_describe,1
dynamodb_table_describe,goal_oriented,50,dynamodb_table_describe,dynamodb_table_describe,1
dynamodb_table_describe,category_aware,50,dynamodb_table_describe,dynamodb_table_describe,1
dynamodb_table_describe,function_specific,50,dynamodb_table_describe,dynamodb_table_describe,1
dynamodb_table_describe,tool_explicit,50,dynamodb_table_describe,dynamodb_table_describe,1
dynamodb_table_update,problem_oriented,50,firestore_update_document,dynamodb_table_update,0
dynamodb_table_update,goal_oriented,50,execute_dml_sql,dynamodb_table_update,0
dynamodb_table_update,function_specific,50,dynamodb_table_update,dynamodb_table_update,1
dynamodb_table_update,tool_explicit,50,dynamodb_table_update,dynamodb_table_update,1
dynamodb_table_update,category_aware,50,dynamodb_table_update,dynamodb_table_update,1
dynamodb_update_ttl,problem_oriented,50,dynamodb_update_ttl,dynamodb_update_ttl,1
dynamodb_update_ttl,goal_oriented,50,dynamodb_update_ttl,dynamodb_update_ttl,1
dynamodb_update_ttl,function_specific,50,dynamodb_update_ttl,dynamodb_update_ttl,1
dynamodb_update_ttl,category_aware,50,dynamodb_update_ttl,dynamodb_update_ttl,1
s3_bucket_create,problem_oriented,50,s3_bucket_create,s3_bucket_create,1
dynamodb_update_ttl,tool_explicit,50,dynamodb_update_ttl,dynamodb_update_ttl,1
s3_bucket_create,category_aware,50,s3_bucket_create,s3_bucket_create,1
s3_bucket_create,goal_oriented,50,s3_bucket_create,s3_bucket_create,1
s3_bucket_create,function_specific,50,s3_bucket_create,s3_bucket_create,1
s3_bucket_create,tool_explicit,50,s3_bucket_create,s3_bucket_create,1
s3_bucket_delete,problem_oriented,50,delete_list,s3_bucket_delete,0
s3_bucket_delete,category_aware,50,s3_bucket_delete,s3_bucket_delete,1
s3_bucket_delete,function_specific,50,s3_bucket_delete,s3_bucket_delete,1
s3_bucket_delete,goal_oriented,50,s3_bucket_delete,s3_bucket_delete,1
s3_bucket_list,problem_oriented,50,s3_bucket_list,s3_bucket_list,1
s3_bucket_delete,tool_explicit,50,s3_bucket_delete,s3_bucket_delete,1
s3_bucket_list,category_aware,50,s3_bucket_list,s3_bucket_list,1
s3_bucket_list,goal_oriented,50,s3_bucket_list,s3_bucket_list,1
s3_bucket_list,function_specific,50,s3_bucket_list,s3_bucket_list,1
s3_bucket_list,tool_explicit,50,s3_bucket_list,s3_bucket_list,1
s3_object_delete,problem_oriented,50,s3_object_delete,s3_object_delete,1
s3_object_delete,goal_oriented,50,s3_object_delete,s3_object_delete,1
s3_object_delete,category_aware,50,s3_object_delete,s3_object_delete,1
s3_object_delete,function_specific,50,s3_object_delete,s3_object_delete,1
s3_object_delete,tool_explicit,50,s3_object_delete,s3_object_delete,1
s3_object_list,problem_oriented,50,s3_object_list,s3_object_list,1
s3_object_list,goal_oriented,50,s3_object_list,s3_object_list,1
s3_object_list,category_aware,50,s3_object_list,s3_object_list,1
s3_object_list,tool_explicit,50,s3_object_list,s3_object_list,1
s3_object_list,function_specific,50,s3_object_list,s3_object_list,1
s3_object_read,problem_oriented,50,s3_object_read,s3_object_read,1
s3_object_read,goal_oriented,50,s3_object_read,s3_object_read,1
s3_object_read,category_aware,50,s3_object_read,s3_object_read,1
s3_object_read,function_specific,50,s3_object_read,s3_object_read,1
s3_object_upload,problem_oriented,50,s3_object_upload,s3_object_upload,1
s3_object_read,tool_explicit,50,s3_object_read,s3_object_read,1
s3_object_upload,goal_oriented,50,s3_object_upload,s3_object_upload,1
s3_object_upload,category_aware,50,s3_object_upload,s3_object_upload,1
s3_object_upload,function_specific,50,s3_object_upload,s3_object_upload,1
get_result,problem_oriented,50,get_result,get_result,1
get_result,goal_oriented,50,get_result,get_result,1
s3_object_upload,tool_explicit,50,s3_object_upload,s3_object_upload,1
get_result,category_aware,50,get_result,get_result,1
get_result,function_specific,50,get_result,get_result,1
get_result,tool_explicit,50,get_result,get_result,1
get_status,problem_oriented,50,get_status,get_status,1
get_status,category_aware,50,get_status,get_status,1
get_status,goal_oriented,50,get_status,get_status,1
get_status,function_specific,50,get_status,get_status,1
get_status,tool_explicit,50,get_status,get_status,1
list_saved_queries,problem_oriented,50,list_saved_queries,list_saved_queries,1
list_saved_queries,goal_oriented,50,list_saved_queries,list_saved_queries,1
list_saved_queries,function_specific,50,list_saved_queries,list_saved_queries,1
